User_ID,Name,Gender,Age,Religion,Location,Education,Job_Title,Bio_Preference,preferences
1,Yash,Male,31,Hindu,Gurgaon,B.Tech,QA Tester,I am a QA Tester with a degree in B.Tech. Looking for a partner around 29 who is working as a SDE or has studied M.Tech. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'SDE', 'Age': 29, 'Education': 'M.Tech', 'Location': 'Gurgaon'}"
2,Mohit,Male,33,Muslim,Noida,BDS,Dentist,I am a Dentist with a degree in BPT (Physiotherapy). Looking for a partner age 34 who is a QA Tester or has studied Diploma in IT. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'QA Tester', 'Age': 34, 'Education': 'Diploma in IT', 'Location': 'Noida'}"
3,Nisha,Female,28,Parsi,Kolkata,B.Arch,Architect,I am a Architect with a degree in LLM. Looking for a partner around 30 who is working as a HR Specialist or has studied CA. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'HR Specialist', 'Age': 30, 'Education': 'CA', 'Location': 'Kolkata'}"
4,Anjali,Female,24,Hindu,Ahmedabad,Diploma Interior Design,Interior Designer,I am a Interior Designer with a degree in LLM. Looking for a partner around 24 who is a Medical Officer or has studied MS (Surgery). I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Medical Officer', 'Age': 24, 'Education': 'MS (Surgery)', 'Location': 'Ahmedabad'}"
5,Sameer,Male,30,Hindu,Ahmedabad,BPT,Physiotherapist,I am a Physiotherapist with a degree in MS (Surgery). Looking for a partner around 30 who is working as a Art Director or has studied Mass Communication. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Art Director', 'Age': 30, 'Education': 'Mass Communication', 'Location': 'Ahmedabad'}"
6,Ritesh,Male,32,Hindu,Noida,MBA,Business Analyst,I am a Business Analyst with a degree in CS. Looking for a partner around 32 who is a Marketing Head or has studied MBA. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Marketing Head', 'Age': 32, 'Education': 'MBA', 'Location': 'Noida'}"
7,Arjun,Male,26,Hindu,Ahmedabad,B.Tech Computer Science,SDE,I am a SDE with a degree in M.Tech. Looking for a partner age 28 who is working as a Research Scholar or has studied B.Arch (Architecture). I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Research Scholar', 'Age': 28, 'Education': 'B.Arch (Architecture)', 'Location': 'Ahmedabad'}"
8,Shruti,Female,22,Hindu,Ahmedabad,MBA HR,HR Specialist,I am a HR Specialist with a degree in CA. Looking for a partner around 24 who is a Pharmacist or has studied BDS. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Pharmacist', 'Age': 24, 'Education': 'BDS', 'Location': 'Ahmedabad'}"
9,Mohit,Male,29,Hindu,Ahmedabad,MD Radiology,Radiologist,I am a Radiologist with a degree in MD. Looking for a partner age 30 who is a Finance Manager or has studied CA. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 30, 'Education': 'CA', 'Location': 'Ahmedabad'}"
10,Mohit,Male,26,Muslim,Bangalore,BFA,Photographer,I am a Photographer with a degree in Fashion Design. Looking for a partner age 25 who is working as a Photographer or has studied Mass Communication. I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'Photographer', 'Age': 25, 'Education': 'Mass Communication', 'Location': 'Bangalore'}"
11,Amrita,Female,23,Hindu,Delhi,CA,Finance Manager,I am a Finance Manager with a degree in CA. Looking for a partner age 24 who is working as a Dentist or has studied MS (Surgery). I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Dentist', 'Age': 24, 'Education': 'MS (Surgery)', 'Location': 'Delhi'}"
12,Navya,Female,27,Hindu,Bangalore,M.Tech Cloud Computing,Cloud Architect,I am a Cloud Architect with a degree in BE. Looking for a partner age 26 who is working as a Pharmacist or has studied BPT (Physiotherapy). I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'Pharmacist', 'Age': 26, 'Education': 'BPT (Physiotherapy)', 'Location': 'Bangalore'}"
13,Kabir,Male,33,Hindu,Hyderabad,B.A. Journalism,Journalist,I am a Journalist with a degree in Journalism. Looking for a partner around 33 who is working as a Legal Consultant or has studied PhD. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'Legal Consultant', 'Age': 33, 'Education': 'PhD', 'Location': 'Hyderabad'}"
14,Divya,Female,23,Hindu,Kolkata,BFA,Graphic Designer,I am a Graphic Designer with a degree in Mass Communication. Looking for a partner around 24 who is a Backend Developer or has studied MS in CS. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Backend Developer', 'Age': 24, 'Education': 'MS in CS', 'Location': 'Kolkata'}"
15,Radhika,Female,31,Hindu,Ahmedabad,MBBS,Medical Officer,I am a Medical Officer with a degree in B.Sc Nursing. Looking for a partner age 30 who is working as a Fashion Stylist or has studied MA in Literature. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Fashion Stylist', 'Age': 30, 'Education': 'MA in Literature', 'Location': 'Ahmedabad'}"
16,Rahul,Male,23,Hindu,Hyderabad,MBA HR,HR Specialist,I am a HR Specialist with a degree in B.Com. Looking for a partner around 21 who is a Business Analyst or has studied CFA. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'Business Analyst', 'Age': 21, 'Education': 'CFA', 'Location': 'Hyderabad'}"
17,Siddharth,Male,28,Hindu,Delhi,MDS,Dentist,I am a Dentist with a degree in MBBS. Looking for a partner around 27 who is a Radiologist or has studied BDS. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Radiologist', 'Age': 27, 'Education': 'BDS', 'Location': 'Delhi'}"
18,Harsh,Male,27,Hindu,Kolkata,MA in Literature,Content Writer,I am a Content Writer with a degree in MA in Literature. Looking for a partner age 27 who is working as a Product Manager or has studied B.Sc Computer Science. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Product Manager', 'Age': 27, 'Education': 'B.Sc Computer Science', 'Location': 'Kolkata'}"
19,Amit,Male,33,Hindu,Gurgaon,B.Tech,QA Tester,I am a QA Tester with a degree in M.Tech. Looking for a partner around 34 who is working as a Business Analyst or has studied CA. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Business Analyst', 'Age': 34, 'Education': 'CA', 'Location': 'Gurgaon'}"
20,Ishani,Female,31,Hindu,Ahmedabad,DNB General Surgery,Surgeon,I am a Surgeon with a degree in BHMS. Looking for a partner age 30 who is working as a Architect or has studied LLM. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Architect', 'Age': 30, 'Education': 'LLM', 'Location': 'Ahmedabad'}"
21,Sai,Male,30,Jain,Delhi,MD,General Physician,I am a General Physician with a degree in MD. Looking for a partner around 28 who is working as a Surgeon or has studied BDS. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Surgeon', 'Age': 28, 'Education': 'BDS', 'Location': 'Delhi'}"
22,Tanya,Female,31,Hindu,Noida,MD Radiology,Radiologist,I am a Radiologist with a degree in MS (Surgery). Looking for a partner around 29 who is working as a Business Analyst or has studied CS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Business Analyst', 'Age': 29, 'Education': 'CS', 'Location': 'Noida'}"
23,Myra,Female,32,Sikh,Kolkata,BDS,Dentist,I am a Dentist with a degree in B.Sc Nursing. Looking for a partner age 31 who is working as a Pharmacist or has studied BHMS. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Pharmacist', 'Age': 31, 'Education': 'BHMS', 'Location': 'Kolkata'}"
24,Varun,Male,31,Hindu,Noida,Diploma Photography,Photographer,I am a Photographer with a degree in BFA. Looking for a partner around 31 who is working as a General Physician or has studied BHMS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'General Physician', 'Age': 31, 'Education': 'BHMS', 'Location': 'Noida'}"
25,Kartik,Male,24,Muslim,Kolkata,Journalism,Video Editor,I am a Video Editor with a degree in Journalism. Looking for a partner age 22 who is working as a Finance Manager or has studied PGDM. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 22, 'Education': 'PGDM', 'Location': 'Kolkata'}"
26,Abhishek,Male,26,Jain,Bangalore,LLB,Legal Consultant,I am a Legal Consultant with a degree in UPSC Aspirant. Looking for a partner around 28 who is a Architect or has studied LLB. I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'Architect', 'Age': 28, 'Education': 'LLB', 'Location': 'Bangalore'}"
27,Nisha,Female,22,Hindu,Mumbai,MD,Pharmacist,I am a Pharmacist with a degree in MD. Looking for a partner around 21 who is a Pediatrician or has studied BHMS. I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Pediatrician', 'Age': 21, 'Education': 'BHMS', 'Location': 'Mumbai'}"
28,Shruti,Female,26,Hindu,Kolkata,Fashion Design,Content Writer,I am a Content Writer with a degree in Fashion Design. Looking for a partner around 27 who is working as a General Physician or has studied MD. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'General Physician', 'Age': 27, 'Education': 'MD', 'Location': 'Kolkata'}"
29,Urvi,Female,31,Hindu,Ahmedabad,B.Com,Business Analyst,I am a Business Analyst with a degree in B.Com. Looking for a partner around 30 who is a Dentist or has studied BPT (Physiotherapy). I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Dentist', 'Age': 30, 'Education': 'BPT (Physiotherapy)', 'Location': 'Ahmedabad'}"
30,Vihaan,Male,29,Muslim,Pune,Mass Communication,Art Director,I am a Art Director with a degree in Mass Communication. Looking for a partner around 29 who is a Civil Engineer or has studied B.Arch (Architecture). I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Civil Engineer', 'Age': 29, 'Education': 'B.Arch (Architecture)', 'Location': 'Pune'}"
31,Tushar,Male,22,Hindu,Gurgaon,Journalism,Art Director,I am a Art Director with a degree in Journalism. Looking for a partner around 23 who is working as a HR Specialist or has studied CA. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'HR Specialist', 'Age': 23, 'Education': 'CA', 'Location': 'Gurgaon'}"
32,Deepak,Male,25,Hindu,Kolkata,MS in CS,UI/UX Designer,I am a UI/UX Designer with a degree in MS in CS. Looking for a partner age 24 who is a Finance Manager or has studied PGDM. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Finance Manager', 'Age': 24, 'Education': 'PGDM', 'Location': 'Kolkata'}"
33,Preeti,Female,25,Hindu,Mumbai,B.Arch,Architect,I am a Architect with a degree in LLB. Looking for a partner around 26 who is working as a Video Editor or has studied Bachelor of Design. I am based in Mumbai and value career growth.,"{'Religion': None, 'Profession': 'Video Editor', 'Age': 26, 'Education': 'Bachelor of Design', 'Location': 'Mumbai'}"
34,Jyoti,Female,33,Hindu,Noida,M.Arch,Architect,I am a Architect with a degree in PhD. Looking for a partner around 33 who is working as a Surgeon or has studied BDS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Surgeon', 'Age': 33, 'Education': 'BDS', 'Location': 'Noida'}"
35,Bhavna,Female,28,Hindu,Noida,BCA,UI/UX Designer,I am a UI/UX Designer with a degree in BCA. Looking for a partner around 26 who is a Video Editor or has studied BFA. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Video Editor', 'Age': 26, 'Education': 'BFA', 'Location': 'Noida'}"
36,Raghav,Male,23,Hindu,Gurgaon,BCA,Backend Developer,I am a Backend Developer with a degree in BCA. Looking for a partner age 23 who is working as a Professor or has studied PhD. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Professor', 'Age': 23, 'Education': 'PhD', 'Location': 'Gurgaon'}"
37,Sneha,Female,22,Parsi,Pune,DNB General Surgery,Surgeon,I am a Surgeon with a degree in MBBS. Looking for a partner around 24 who is working as a Civil Engineer or has studied B.Arch (Architecture). I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Civil Engineer', 'Age': 24, 'Education': 'B.Arch (Architecture)', 'Location': 'Pune'}"
38,Priti,Female,32,Jain,Gurgaon,B.Com,Sales Director,I am a Sales Director with a degree in B.Com. Looking for a partner age 30 who is working as a Sales Director or has studied PGDM. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Sales Director', 'Age': 30, 'Education': 'PGDM', 'Location': 'Gurgaon'}"
39,Radhika,Female,24,Hindu,Pune,Journalism,Fashion Stylist,I am a Fashion Stylist with a degree in Journalism. Looking for a partner age 25 who is working as a Radiologist or has studied MBBS. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Radiologist', 'Age': 25, 'Education': 'MBBS', 'Location': 'Pune'}"
40,Amit,Male,25,Hindu,Gurgaon,MDS,Dentist,I am a Dentist with a degree in BDS. Looking for a partner around 27 who is working as a Fashion Stylist or has studied Fashion Design. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Fashion Stylist', 'Age': 27, 'Education': 'Fashion Design', 'Location': 'Gurgaon'}"
41,Kavya,Female,23,Hindu,Hyderabad,M.Phil,Professor,I am a Professor with a degree in B.Plan. Looking for a partner around 21 who is a Investment Banker or has studied PGDM. I am based in Hyderabad and value career growth.,"{'Religion': None, 'Profession': 'Investment Banker', 'Age': 21, 'Education': 'PGDM', 'Location': 'Hyderabad'}"
42,Sakshi,Female,25,Hindu,Kolkata,MBBS,Medical Officer,I am a Medical Officer with a degree in BDS. Looking for a partner age 27 who is a Cloud Architect or has studied BE. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Cloud Architect', 'Age': 27, 'Education': 'BE', 'Location': 'Kolkata'}"
43,Meera,Female,33,Hindu,Delhi,B.Pharma,General Physician,I am a General Physician with a degree in B.Pharma. Looking for a partner around 33 who is a Product Manager or has studied MCA. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Product Manager', 'Age': 33, 'Education': 'MCA', 'Location': 'Delhi'}"
44,Raghav,Male,25,Hindu,Kolkata,LLB,Corporate Lawyer,I am a Corporate Lawyer with a degree in PhD. Looking for a partner around 26 who is working as a UI/UX Designer or has studied B.Tech. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'UI/UX Designer', 'Age': 26, 'Education': 'B.Tech', 'Location': 'Kolkata'}"
45,Kajal,Female,25,Sikh,Chennai,B.Plan,Civil Engineer,I am a Civil Engineer with a degree in B.Plan. Looking for a partner age 24 who is working as a General Physician or has studied BDS. I am based in Chennai and value career growth.,"{'Religion': None, 'Profession': 'General Physician', 'Age': 24, 'Education': 'BDS', 'Location': 'Chennai'}"
46,Varun,Male,26,Hindu,Noida,PhD,Professor,I am a Professor with a degree in LLB. Looking for a partner around 25 who is a Medical Officer or has studied BDS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Medical Officer', 'Age': 25, 'Education': 'BDS', 'Location': 'Noida'}"
47,Aavya,Female,28,Hindu,Bangalore,BFA,Video Editor,I am a Video Editor with a degree in BFA. Looking for a partner around 30 who is working as a UI/UX Designer or has studied M.Tech. I am based in Bangalore and value career growth.,"{'Religion': None, 'Profession': 'UI/UX Designer', 'Age': 30, 'Education': 'M.Tech', 'Location': 'Bangalore'}"
48,Ishani,Female,32,Hindu,Gurgaon,B.Com,Business Analyst,I am a Business Analyst with a degree in BBA. Looking for a partner around 30 who is working as a Marketing Head or has studied CS. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Marketing Head', 'Age': 30, 'Education': 'CS', 'Location': 'Gurgaon'}"
49,Sahil,Male,33,Jain,Ahmedabad,MD Radiology,Radiologist,I am a Radiologist with a degree in MBBS. Looking for a partner around 31 who is working as a Cloud Architect or has studied BE. I am based in Ahmedabad and value career growth.,"{'Religion': None, 'Profession': 'Cloud Architect', 'Age': 31, 'Education': 'BE', 'Location': 'Ahmedabad'}"
50,Sahil,Male,27,Hindu,Noida,PGDM HR,HR Specialist,I am a HR Specialist with a degree in PGDM. Looking for a partner around 27 who is working as a Pharmacist or has studied BDS. I am based in Noida and value career growth.,"{'Religion': None, 'Profession': 'Pharmacist', 'Age': 27, 'Education': 'BDS', 'Location': 'Noida'}"
51,Nisha,Female,27,Sikh,Pune,UPSC Aspirant,Research Scholar,I am a Research Scholar with a degree in UPSC Aspirant. Looking for a partner age 25 who is a Data Scientist or has studied M.Tech. I am based in Pune and value career growth.,"{'Religion': None, 'Profession': 'Data Scientist', 'Age': 25, 'Education': 'M.Tech', 'Location': 'Pune'}"
52,Sai,Male,31,Parsi,Kolkata,PhD,Research Scholar,I am a Research Scholar with a degree in PhD. Looking for a partner age 29 who is a Interior Designer or has studied B.Plan. I am based in Kolkata and value career growth.,"{'Religion': None, 'Profession': 'Interior Designer', 'Age': 29, 'Education': 'B.Plan', 'Location': 'Kolkata'}"
53,Kabir,Male,22,Hindu,Delhi,Diploma Interior Design,Interior Designer,I am a Interior Designer with a degree in B.Plan. Looking for a partner age 21 who is a Art Director or has studied Bachelor of Design. I am based in Delhi and value career growth.,"{'Religion': None, 'Profession': 'Art Director', 'Age': 21, 'Education': 'Bachelor of Design', 'Location': 'Delhi'}"
54,Aryan,Male,26,Hindu,Gurgaon,CA,Investment Banker,I am a Investment Banker with a degree in CA. Looking for a partner around 26 who is working as a Content Writer or has studied BFA. I am based in Gurgaon and value career growth.,"{'Religion': None, 'Profession': 'Content Writer', 'Age': 26, 'Education': 'BFA', 'Location': 'Gurgaon'}"
